_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5793819,PGE,3/26/2025 10:40:47 PM,3/27/2025 8:45:00 AM,PATROLLING,3,4081331.41015625,8022.99002813425,HUMBOLDT,Active,Not Planned,2745661,2025-03-28 21:44:45
2,5793820,PGE,3/26/2025 11:30:05 PM,3/27/2025 9:45:00 AM,REPLCE SRVC,1,11310.77734375,466.168315267537,SAN MATEO,Active,Not Planned,2745698,2025-03-28 21:44:45
3,5793821,PGE,3/27/2025 1:41:25 AM,3/27/2025 11:45:00 AM,,1,26870.44140625,837.085296887908,SANTA CRUZ,Active,Not Planned,2745801,2025-03-28 21:44:45
4,5793822,PGE,3/27/2025 4:16:00 AM,3/27/2025 10:30:00 AM,PATROLLING,15,26745.9296875,658.935332972797,YUBA,Active,Not Planned,2745886,2025-03-28 21:44:45
5,5793823,PGE,3/27/2025 5:06:06 AM,3/27/2025 11:00:00 AM,PLNND SHUTDOWN,72,54925.63671875,1371.96358838822,SOLANO,Active,Planned,2745912,2025-03-28 21:44:45
6,5793824,PGE,3/27/2025 5:42:11 AM,3/27/2025 11:15:00 AM,,1,38921.140625,1183.77422228327,ALAMEDA,Active,Not Planned,2745932,2025-03-28 21:44:45
7,5793825,PGE,3/27/2025 5:43:00 AM,3/27/2025 7:00:00 PM,CAR POLE,68,199410.5078125,3230.36366016114,BUTTE,Active,Not Planned,2745940,2025-03-28 21:44:45
8,5793826,PGE,3/27/2025 8:42:00 AM,3/27/2025 12:45:00 PM,EMERG REPAIRS,1,12428.9375,452.244727337672,MARIN,Active,Not Planned,2745991,2025-03-28 21:44:45
9,5793827,PGE,3/22/2025 3:31:00 PM,3/30/2025 9:30:00 PM,PLNND SHUTDOWN,2,72507.14453125,1151.92961249051,SAN LUIS OBISPO,Active,Planned,2741673,2025-03-28 21:44:45
10,5793828,PGE,3/26/2025 10:30:00 AM,3/26/2025 9:00:00 PM,PLNND SHUTDOWN,1,6941.5703125,351.71628001809,YOLO,Active,Planned,2744915,2025-03-28 21:44:45
11,5793829,PGE,3/26/2025 3:14:51 PM,3/26/2025 10:30:00 PM,PLNND SHUTDOWN,49,25084.17578125,649.275333433093,MARIN,Active,Planned,2745030,2025-03-28 21:44:45
12,5793830,PGE,3/26/2025 4:02:00 PM,3/27/2025 12:00:00 AM,PLNND SHUTDOWN,17,6737.63671875,490.22621343714,SAN FRANCISCO,Active,Planned,2745151,2025-03-28 21:44:45
13,5793831,PGE,3/27/2025 3:52:44 AM,3/27/2025 11:00:00 AM,EMERG REPAIRS,11,1863795.76953125,8466.20237179026,GLENN,Active,Not Planned,2745869,2025-03-28 21:44:45
14,5793832,PGE,3/27/2025 4:33:35 AM,3/27/2025 9:45:00 AM,,4,6525.20703125,374.649779647048,MARIN,Active,Not Planned,2745895,2025-03-28 21:44:45
15,5793833,PGE,3/27/2025 5:03:17 AM,3/27/2025 1:15:00 PM,,1,203223.5859375,1930.13882301728,SANTA CRUZ,Active,Not Planned,2745907,2025-03-28 21:44:45
16,5793834,PGE,3/27/2025 5:47:57 AM,3/27/2025 1:00:00 PM,PLNND SHUTDOWN,9,41770.82421875,1230.08190556219,SANTA CLARA,Active,Planned,2745941,2025-03-28 21:44:45
17,5793835,PGE,3/27/2025 7:18:25 AM,3/27/2025 12:00:00 PM,EMERG REPAIRS,2,5465.3515625,306.198703207601,FRESNO,Active,Not Planned,2745969,2025-03-28 21:44:45
18,5793836,PGE,3/26/2025 9:31:00 PM,3/27/2025 7:00:00 PM,REPLCE TXFMR,2,62734.97265625,1329.83149606473,SANTA CRUZ,Active,Not Planned,2745574,2025-03-28 21:44:45
19,5793837,PGE,3/27/2025 4:20:00 AM,3/27/2025 12:00:00 PM,PLNND SHUTDOWN,15,19581.08984375,599.566140841382,SAN FRANCISCO,Active,Planned,2745891,2025-03-28 21:44:45
20,5793838,PGE,3/27/2025 5:00:33 AM,3/27/2025 12:45:00 PM,PATROLLING,1,521183.3828125,3058.71692867963,SAN JOAQUIN,Active,Not Planned,2745905,2025-03-28 21:44:45
21,5793839,PGE,3/27/2025 7:11:45 AM,3/27/2025 11:45:00 AM,PATROLLING,17,3715455.96484375,14561.14067739,HUMBOLDT,Active,Not Planned,2745967,2025-03-28 21:44:45
22,5793840,PGE,3/25/2025 10:51:15 PM,3/25/2025 11:00:00 PM,PLNND SHUTDOWN,1,21287.64453125,608.359745277559,SANTA CLARA,Active,Planned,2744562,2025-03-28 21:44:45
23,5793841,PGE,3/27/2025 12:23:57 AM,3/27/2025 1:00:00 PM,,1,219662.2890625,1896.49756813143,COLUSA,Active,Not Planned,2745756,2025-03-28 21:44:45
24,5793842,PGE,3/27/2025 5:10:08 AM,3/27/2025 1:45:00 PM,CAR POLE,33,743176.0859375,5129.30471658591,MONTEREY,Active,Not Planned,2745910,2025-03-28 21:44:45
25,5793843,PGE,3/27/2025 5:41:53 AM,3/27/2025 1:00:00 PM,PLNND SHUTDOWN,137,118085.1953125,1920.31197369525,SANTA CLARA,Active,Planned,2745934,2025-03-28 21:44:45
26,5793844,PGE,3/26/2025 7:30:00 AM,3/27/2025 12:30:00 PM,PATROLLING,6,29033.9609375,736.467197326983,MARIN,Active,Not Planned,2745970,2025-03-28 21:44:45
27,5793845,PGE,3/27/2025 3:21:00 AM,3/27/2025 11:00:00 AM,BRKN POLE,3,71145.0390625,1559.02066424049,SANTA CLARA,Active,Not Planned,2745858,2025-03-28 21:44:45
28,5793846,PGE,3/27/2025 5:44:12 AM,3/27/2025 11:15:00 AM,,1,44224.39453125,1099.16157484249,ALAMEDA,Active,Not Planned,2745933,2025-03-28 21:44:45
29,5793847,PGE,3/27/2025 8:38:58 AM,3/27/2025 12:15:00 PM,PATROLLING,24,17310.8125,565.326589527008,KERN,Active,Not Planned,2745990,2025-03-28 21:44:45
30,5793848,PGE,3/26/2025 5:09:09 PM,3/27/2025 11:00:00 AM,NG CONNECTION,1,19961.703125,593.822596492641,SAN MATEO,Active,Not Planned,2745311,2025-03-28 21:44:45
31,5793849,PGE,3/27/2025 7:03:40 AM,3/27/2025 12:00:00 PM,,1,76242.1640625,1235.37356065179,KERN,Active,Not Planned,2745964,2025-03-28 21:44:45
32,5793850,PGE,3/26/2025 5:53:36 PM,3/27/2025 11:00:00 AM,BRKN POLE,19,40576.0078125,880.950239795187,MARIN,Active,Not Planned,2745350,2025-03-28 21:44:45
33,5793851,PGE,3/26/2025 7:51:00 PM,3/27/2025 3:00:00 PM,EMERG REPAIRS,2,22919.01171875,595.402985888137,CONTRA COSTA,Active,Not Planned,2745467,2025-03-28 21:44:45
34,5793852,PGE,3/27/2025 2:53:48 AM,3/27/2025 12:30:00 PM,,5,5586618.953125,9852.90263250529,YUBA,Active,Not Planned,2745843,2025-03-28 21:44:45
35,5793853,PGE,3/27/2025 3:33:40 AM,3/27/2025 3:10:00 PM,REPLCE SRVC,1,13951.76171875,472.666076459476,FRESNO,Active,Not Planned,2745860,2025-03-28 21:44:45
36,5793854,PGE,3/27/2025 5:03:18 AM,3/27/2025 1:15:00 PM,,1,203223.5859375,1930.13882301728,SANTA CRUZ,Active,Not Planned,2745906,2025-03-28 21:44:45
